Unnamed: 0,x,y,z
,-11000.0,1500.1,4691.54
,-11224.8,1499.9,4693.02
,-11224.9,1725.0,4694.46
,-10999.8,1725.0,4693.38
,-10774.9,1725.0,4692.14
,-10774.9,1500.2,4690.68
,-10774.9,1274.7,4689.06
,-10999.8,1275.0,4690.04
,-11225.1,1275.0,4690.78
